ALKNIT,0,133.141,0,5790,0,0,0,0
ALKOOH,0,104.143,336,5241,0,0,0,0
APIN,0,136.228,0,1800,0,0,0,0
BCARY,0,204.343,0,2800,0,0,0,0
BENZENE,0,78.1104,0,3800,0,0,0,0
BENZOOH,0,160.122,0,5995,0,0,0,0
BEPOMUC,0,126.109,0e+07,0,0,0,0,0
OPEN,0,98.0982,0,6220,0,0,0,0
BIGALD1,0,84.0724,0,5890,0,0,0,0
BIGALD2,0,98.0982,0,5890,0,0,0,0
BIGALD3,0,98.0982,0,5890,0,0,0,0
BIGALD4,0,112.124,0,5890,0,0,0,0
BIGALK,0,72.1438,0,3010,0,0,0,0
BIGENE,0,56.1032,0,2365,0,0,0,0
BPIN,0,136.228,0,4500,0,0,0,0
BZALD,0,106.121,0,6300,0,0,0,0
BZOOH,0,124.135,0,5995,0,0,0,0
C2H2,0,26.0368,0.0414,1890,0,0,0,0
C2H4,0,28.0516,0.00596,2200,0,0,0,0
C2H5OH,0,46.0658,200,6500,0,0,0,0
ETOOH,0,62.0652,336,5995,0,0,0,0
C2H6,0,30.0664,0,2750,0,0,0,0
C3H6,0,42.0774,0,2800,0,0,0,0
PROOH,0,76.091,336,5995,0,0,0,0
C3H8,0,44.0922,0,3120,0,0,0,0
C6H5OOH,0,110.109,0,5995,0,0,0,0
HCHO,0,30.0252,3230,7100,0,0,0,0
ALD,0,44.051,11.4,6267,0,0,0,0
CH3CN,0,41.0509,0,3970,0,0,0,0
ACET,0,58.0768,27.8,5530,0,0,0,0
MGLY,0,72.0614,3710,7541,0,0,0,0
CH3COOH,0,60.0504,4100,6300,0,0,0,0
PAA,0,76.0498,837,5308,0.00018,-1510,0,0
CH3OH,0,32.04,220,4934,0,0,0,0
CH3OOH,0,48.0394,311,5241,0,0,0,0
CH4,0,16.0406,0,1820,0,0,0,0
CO,0,28.0104,0.000981,1650,0,0,0,0
CO2,0,44.0098,0.0344,2715,4.3e-07,-1000,4.68e-11,-1760
CRES,0,108.136,0,5800,0,0,0,0
DMS,0,62.1324,0,3460,0,0,0,0
EOOH,0,78.0646,0,0,0,0,0,0
GLYALD,0,60.0504,41400,4630,0,0,0,0
GLY,0,58.0356,0,7480,0,0,0,0
H2,0,2.0148,0,530,0,0,0,0
H2O2,0,34.0136,83300,7379,2.2e-12,-3730,0,0
HCN,0,27.0251,0,8258,0,0,0,0
HCOOH,0,46.0246,8900,6100,0.00018,-20,0,0
HMPROP,0,88.102,0,4500,0,0,0,0
HMPROPO2,0,119.093,0,5280,0,0,0,0
HNO3,0,63.0123,2.1e5,8700,22,0,0,0
HNO4,0,79.0117,0,0,32,0,0,0
HONITR,0,133.1,2640,0,0,0,0,0
HPALD,0,116.112,0,0,0,0,0,0
ACETOL,0,74.0762,1600,0,0,0,0,0
HYDRALD,0,100.113,70,6000,0,0,0,0
IEPOX,0,118.127,0,0,0,0,0,0
ISOPR,0,68.1142,0,4400,0,0,0,0
ISOPNITA,0,147.126,0,0,0,0,0,0
ISOPNITB,0,147.126,0,0,0,0,0,0
ISOPN,0,162.118,10,0,0,0,0,0
ISOPNOOH,0,163.125,0,0,0,0,0,0
ISOOH,0,118.127,0,0,2.6e+06,8700,0,0
LIMON,0,136.228,0,4600,0,0,0,0
MACR,0,70.0878,1.7e-03,0,0,0,0,0
MVKOOH,0,120.101,0,0,2.6e+06,8700,0,0
MALO2,0,115.064,0,5280,0,0,0,0
MBO,0,86.1284,0,0,0,0,0,0
MBONO3O2,0,180.132,0,5280,0,0,0,0
MBOO2,0,135.134,0,5280,0,0,0,0
MBOOOH,0,136.141,0,5995,0,0,0,0
MEK,0,72.1026,0,5740,0,0,0,0
MEKOOH,0,104.101,311,5241,0,0,0,0
MPAN,0,147.085,1.72,5700,0,0,0,0
MVK,0,70.0878,1.7e-03,0,0,0,0,0
MYRC,0,136.228,0,2800,0,0,0,0
N2O,0,44.0129,0,2710,0,0,0,0
N2O5,0,108.01,0,3362,0,0,0,0
NC4CH2OH,0,147.126,0,9500,0,0,0,0
NC4CHO,0,145.111,0,0,0,0,0,0
