ALKNIT,0,133.141,1.01,5790,0,0,0,0
ALKOOH,0,104.143,336,5995,0,0,0,0
APIN,0,136.228,0.0294,1800,0,0,0,0
BCARY,0,204.343,0.00557,2800,0,0,0,0
BENZENE,0,78.1104,0.18,3800,0,0,0,0
BENZOOH,0,160.122,2300,5995,0,0,0,0
BEPOMUC,0,126.109,3e+07,0,0,0,0,0
OPEN,0,98.0982,9.6,6220,0,0,0,0
BIGALD1,0,84.0724,100000,5890,0,0,0,0
BIGALD2,0,98.0982,29000,5890,0,0,0,0
BIGALD3,0,98.0982,22000,5890,0,0,0,0
BIGALD4,0,112.124,22000,5890,0,0,0,0
BIGALK,0,72.1438,0.00124,3010,0,0,0,0
BIGENE,0,56.1032,0.00596,2365,0,0,0,0
BPIN,0,136.228,0.0152,4500,0,0,0,0
BZALD,0,106.121,32.4,6300,0,0,0,0
BZOOH,0,124.135,336,5995,0,0,0,0
C2H2,0,26.0368,0.0414,1890,0,0,0,0
C2H4,0,28.0516,0.00596,2200,0,0,0,0
C2H5OH,0,46.0658,190,6500,0,0,0,0
ETOOH,0,62.0652,336,5995,0,0,0,0
C2H6,0,30.0664,0.00188,2750,0,0,0,0
C3H6,0,42.0774,0.00557,2800,0,0,0,0
PROOH,0,76.091,336,5995,0,0,0,0
C3H8,0,44.0922,0.00151,3120,0,0,0,0
C6H5OOH,0,110.109,336,5995,0,0,0,0
HCHO,0,30.0252,3230,7100,0,0,0,0
ALD,0,44.051,12.9,5890,0,0,0,0
CH3CN,0,41.0509,52.8,3970,0,0,0,0
ACET,0,58.0768,27.8,5530,0,0,0,0
MGLY,0,72.0614,3500,7545,0,0,0,0
CH3COOH,0,60.0504,4100,6200,0,0,0,0
PAA,0,76.0498,837,5310,0.00018,-20,0,0
CH3OH,0,32.04,203,5645,0,0,0,0
CH3OOH,0,48.0394,300,5280,0,0,0,0
CH4,0,16.0406,0.00141,1820,0,0,0,0
CO,0,28.0104,0.000981,1650,0,0,0,0
CO2,0,44.0098,0.0344,2715,4.3e-07,-1000,4.68e-11,-1760
CRES,0,108.136,567,5800,0,0,0,0
DMS,0,62.1324,0.54,3460,0,0,0,0
EOOH,0,78.0646,1.9e+06,0,0,0,0,0
GLYALD,0,60.0504,40000,4630,0,0,0,0
GLY,0,58.0356,419000,7480,0,0,0,0
H2,0,2.0148,0.00079,530,0,0,0,0
H2O2,0,34.0136,87000,7320,2.2e-12,-3730,0,0
HCN,0,27.0251,9.02,8258,0,0,0,0
HCOOH,0,46.0246,8900,6100,0.00018,-20,0,0
HMPROP,0,88.102,0.6,4500,0,0,0,0
HMPROPO2,0,119.093,2.38,5280,0,0,0,0
HNO3,0,63.0123,210000,8700,22,0,0,0
HNO4,0,79.0117,40,8400,1.3e-06,0,0,0
HONITR,0,133.1,2640,0,0,0,0,0
HPALD,0,116.112,230000,0,0,0,0,0
ACETOL,0,74.0762,1600,0,0,0,0,0
HYDRALD,0,100.113,110000,6000,0,0,0,0
IEPOX,0,118.127,3e+07,0,0,0,0,0
ISOPR,0,68.1142,0.0345,4400,0,0,0,0
ISOPNITA,0,147.126,8340,0,0,0,0,0
ISOPNITB,0,147.126,48200,0,0,0,0,0
ISOPN,0,162.118,2.38,5280,0,0,0,0
ISOPNOOH,0,163.125,87500,0,0,0,0,0
ISOOH,0,118.127,1.904e+06,5995,0,0,0,0
LIMON,0,136.228,0.0486,4600,0,0,0,0
MACR,0,70.0878,6.5,0,0,0,0,0
MVKOOH,0,120.101,4.4e+06,0,0,0,0,0
MALO2,0,115.064,2.38,5280,0,0,0,0
MBO,0,86.1284,65,0,0,0,0,0
MBONO3O2,0,180.132,2.38,5280,0,0,0,0
MBOO2,0,135.134,2.38,5280,0,0,0,0
MBOOOH,0,136.141,1.7e+09,5995,0,0,0,0
MEK,0,72.1026,18,5740,0,0,0,0
MEKOOH,0,104.101,64000,0,0,0,0,0
MPAN,0,147.085,1.72,5700,0,0,0,0
MVK,0,70.0878,41,0,0,0,0,0
MYRC,0,136.228,0.073,2800,0,0,0,0
N2O,0,44.0129,0.0242,2710,0,0,0,0
N2O5,0,108.01,2.14,3362,0,0,0,0
NC4CH2OH,0,147.126,40200,9500,0,0,0,0
NC4CHO,0,145.111,1460,0,0,0,0,0
NH3,0,17.0289,60.2,4160,1.7e-05,-4325,1e-14,-6716
NO,0,30.0061,0.00192,1762,0,0,0,0
NO2,0,46.0055,0.0012,2440,0,0,0,0
NO3,0,62.0049,0.038,0,0,0,0,0
NOA,0,119.074,1000,0,0,0,0,0
NTERPOOH,0,231.24,66700,0,0,0,0,0
O,0,15.9994,0,0,0,0,0,0
O3,0,47.9982,0.0103,2830,0,0,0,0
ONITR,0,147.126,1440,0,0,0,0,0
PAN,0,121.048,2.8,5730,0,0,0,0
PBZNIT,0,183.118,2.8,5730,0,0,0,0
PHENO,0,159.115,0,0,0,0,0,0
PHENOL,0,94.1098,2840,2700,0,0,0,0
PHENOOH,0,176.122,1.5e+06,5995,0,0,0,0
C3H6OOH,0,92.0904,1.5e+06,0,0,0,0,0
ACETP,0,90.0756,336,5995,0,0,0,0
SO2,0,64.0648,1.36,3100,0.013,1960,6.6e-08,1500
SULF,0,96.0576,1.e11,0,0,0,0,0
SOAG0,0,0,0,0,0,0,0,0
TEPOMUC,0,140.134,2500,0,0,0,0,0
TERP2OOH,0,200.226,336,5995,0,0,0,0
TERPNIT,0,215.24,8410,0,0,0,0,0
TERPOOH,0,186.241,1.904e+06,5995,0,0,0,0
TERPROD1,0,168.227,2.38,5280,0,0,0,0
TERPROD2,0,154.201,2.38,5280,0,0,0,0
TOLOOH,0,174.148,23000,5995,0,0,0,0
TOL,0,92.1362,0.15,4300,0,0,0,0
XOOH,0,150.126,1e+11,5995,0,0,0,0
XYLENES,0,106.162,0.2,4300,0,0,0,0
XYLENOOH,0,188.174,336,5995,0,0,0,0
XYLOL,0,122.161,1013,6800,0,0,0,0
XYLOLOOH,0,204.173,1.904e+06,5995,0,0,0,0
ACBZO2,0,137.112,2.38,5280,0,0,0,0
ALKO2,0,103.135,2.38,5280,0,0,0,0
BENZO2,0,159.115,2.38,5280,0,0,0,0
BZOO,0,123.128,2.38,5280,0,0,0,0
ETO2,0,61.0578,2.38,5280,0,0,0,0
PRO2,0,75.0836,2.38,5280,0,0,0,0
C6H5O2,0,109.102,2.38,5280,0,0,0,0
ACO3,0,75.0424,0.1,0,0,0,0,0
CH3O2,0,47.032,2.38,5280,0,0,0,0
DICARBO2,0,129.09,2.38,5280,0,0,0,0
ENEO2,0,105.109,2.38,5280,0,0,0,0
EO,0,61.0578,2.38,5280,0,0,0,0
EO2,0,77.0572,2.38,5280,0,0,0,0
HO2,0,33.0062,690,5900,0,0,0,0
HOCH2OO,0,63.0314,80000,8200,0,0,0,0
ISOPAO2,0,117.12,2.38,5280,0,0,0,0
ISOPBO2,0,117.12,2.38,5280,0,0,0,0
MVKO2,0,119.093,2.38,5280,0,0,0,0
MCO3,0,101.079,2.38,5280,0,0,0,0
MDIALO2,0,117.079,2.38,5280,0,0,0,0
MEKO2,0,103.094,2.38,5280,0,0,0,0
NTERPO2,0,230.232,2.38,5280,0,0,0,0
O1D,0,15.9994,0,0,0,0,0,0
HO,0,17.0068,39,4300,0,0,0,0
PHENO2,0,175.114,2.38,5280,0,0,0,0
PO2,0,91.083,2.38,5280,0,0,0,0
ACETO2,0,89.0682,2.38,5280,0,0,0,0
TERP2O2,0,199.219,2.38,5280,0,0,0,0
TERPO2,0,185.234,2.38,5280,0,0,0,0
TO2,0,173.141,2.38,5280,0,0,0,0
XO2,0,149.119,1e+11,0,0,0,0,0
XYLENO2,0,187.166,2.38,5280,0,0,0,0
XYLOLO2,0,203.166,2.38,5280,0,0,0,0
HONO,0,47.013,0.48,4900,5.9e-4,-1760,0,0
ISO2,0,117.12,2.38,5280,0,0,0,0
ONIT,0,119.074,1000,0,0,0,0,0
PHEN,0,94.1098,2840,2700,0,0,0,0
XYL,0,106.162,0.2,4300,0,0,0,0
BALD,0,106.121,32.4,6300,0,0,0,0
cvasoaX,0,180.,0,0,0,0,0,0
cvasoa1,0,180.,1.06E+08,6014.,0,0,0,0
cvasoa2,0,180.,1.84E+07,6014.,0,0,0,0
cvasoa3,0,180.,3.18E+06,6014.,0,0,0,0
cvasoa4,0,180.,5.50E+05,6014.,0,0,0,0
cvbsoaX,0,150.,0,0,0,0,0,0
cvbsoa1,0,150.,5.25E+09,6014.,0,0,0,0
cvbsoa2,0,150.,7.00E+08,6014.,0,0,0,0
cvbsoa3,0,150.,9.33E+07,6014.,0,0,0,0
cvbsoa4,0,150.,1.24E+07,6014.,0,0,0,0
