// Year Month XXXX XXXXX XXXXX
1972 1  10.0     41317.0  0.0  -662774417.0
1972 7  11.0     41317.0  0.0  -647049616.0
1973 1  12.0     41317.0  0.0  -631152015.0
1974 1  13.0     41317.0  0.0  -599616014.0
1975 1  14.0     41317.0  0.0  -568080013.0
1976 1  15.0     41317.0  0.0  -536544012.0
1977 1  16.0     41317.0  0.0  -504921611.0
1978 1  17.0     41317.0  0.0  -473385610.0
1979 1  18.0     41317.0  0.0  -441849609.0
1980 1  19.0     41317.0  0.0  -410313608.0
1981 7  20.0     41317.0  0.0  -363052807.0
1982 7  21.0     41317.0  0.0  -331516806.0
1983 7  22.0     41317.0  0.0  -299980805.0
1985 7  23.0     41317.0  0.0  -236822404.0
1988 1  24.0     41317.0  0.0  -157852803.0
1990 1  25.0     41317.0  0.0   -94694402.0
1991 1  26.0     41317.0  0.0   -63158401.0
1992 7  27.0     41317.0  0.0   -15897600.0
1993 7  28.0     41317.0  0.0    15638401.0
1994 7  29.0     41317.0  0.0    47174402.0
1996 1  30.0     41317.0  0.0    94608003.0
1997 7  31.0     41317.0  0.0   141868804.0
1999 1  32.0     41317.0  0.0   189302405.0
2006 1  33.0     41317.0  0.0   410227206.0
2009 1  34.0     41317.0  0.0   504921607.0
2012 7  35.0     41317.0  0.0   615254408.0
2015 7  36.0     41317.0  0.0   709862409.0
2017 1  37.0     41317.0  0.0   757382410.0
