z_index:  h_index:      ===Rainwater===       ===Wet snow===       ===Dry snow===        ===Graupel===
       1         1          1.110364621          0.000000000          0.000000000          0.000000000
       1         2          1.191557061          0.000000000          0.000000000          0.000000000
       1         3          1.161192223          0.000000422          0.000000000          0.000000012
       1         4          1.184153769          0.000000491          0.000000000          0.000000861
       1         5          1.215461736          0.000001245          0.000000000          0.000032498
       1         6          1.249331021          0.000003465          0.000000000          0.000434329
       1         7          1.188016575          0.004044376          0.000000000          0.006002718
       1         8          0.658994592          0.258770821          0.000000000          0.023394588
       1         9          0.076126130          0.493034557          0.041413365          0.089647445
       1        10          0.018769813          0.001490633          0.602470884          0.246930429
       1        11          0.012606547          0.000000000          0.682771950          0.218481389
       1        12          0.006803642          0.000000000          0.774319410          0.166622734
       1        13          0.002194630          0.000000000          0.973009700          0.103653619
       1        14          0.000539458          0.000000000          1.057978759          0.062300466
       1        15          0.000082431          0.000000000          1.124476300          0.031163022
       1        16          0.000006093          0.000000000          1.181231493          0.016328655
       1        17          0.000000633          0.000000000          1.186018000          0.008443903
       1        18          0.000000026          0.000000000          1.184349250          0.005027429
       1        19          0.000000000          0.000000000          1.204235782          0.002984170
       1        20          0.000000000          0.000000000          1.247787931          0.001683112
       1        21          0.000000000          0.000000000          1.182761010          0.001269201
       1        22          0.000000000          0.000000000          1.147730129          0.001016334
       1        23          0.000000000          0.000000000          1.081208081          0.001700866
       1        24          0.000000000          0.000000000          1.058804569          0.002569211
       1        25          0.000000000          0.000000000          1.069680539          0.004297983
       1        26          0.000000000          0.000000000          1.105473007          0.007288858
       1        27          0.000000000          0.000000000          1.123479694          0.012151141
       1        28          0.000000000          0.000000000          1.077309190          0.021671793
       1        29          0.000000000          0.000000000          1.052393202          0.048595214
       1        30          0.000000000          0.000000000          1.075984323          0.070006682
       1        31          0.000000000          0.000000000          0.931566007          0.133371018
       1        32          0.000000000          0.000000000          0.747305077          0.325729422
       1        33          0.000000000          0.000000000          0.644699148          0.487301524
       1        34          0.000000000          0.000000000          0.450743857          0.445289492
       1        35          0.000000000          0.000000000          0.000000000          0.000000000
       1        36          0.000000000          0.000000000          0.000000000          0.000000000
       1        37          0.000000000          0.000000000          0.000000000          0.000000000
       1        38          0.000000000          0.000000000          0.000000000          0.000000000
       1        39          0.000000000          0.000000000          0.000000000          0.000000000
       1        40          0.000000000          0.000000000          0.000000000          0.000000000
